ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,,,,
PNB Housing Finance Ltd.,PNBHOUSING.NS,,,,
PG Electroplast Ltd.,PGEL.NS,,,,
Bandhan Bank Ltd.,BANDHANBNK.NS,,,,
Inventurus Knowledge Solutions Ltd.,NA,,,,
Gland Pharma Ltd.,GLAND.NS,,,,
Aster DM Healthcare Ltd.,ASTERDM.NS,,,,
Shyam Metalics and Energy Ltd.,SHYAMMETL.NS,,,,
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS,,,,
Krishna Institute of Medical Sciences Ltd.,KIMS.NS,,,,
ITI Ltd.,ITI.NS,,,,
Mangalore Refinery And Petrochemicals Ltd.,MRPL.NS,,,,
Jyoti CNC Automation Ltd.,NA,,,,
Brigade Enterprises Ltd.,BRIGADE.NS,,,,
Ola Electric Mobility Ltd.,NA,,,,
EIH Ltd.,EIHOTEL.NS,,,,
Motherson Sumi Wiring India Ltd.,MSUMI.NS,,,,
Firstsource Solutions Ltd.,FSL.NS,,,,
NBCC (India) Ltd.,NBCC.NS,,,,
Amber Enterprises India Ltd.,AMBER.NS,,,,
The Ramco Cements Ltd.,RAMCOCEM.NS,,,,
Wockhardt Ltd.,WOCKPHARMA.NS,,,,
Piramal Enterprises Ltd.,PEL.NS,,,,
Bayer Cropscience Ltd.,BAYERCROP.NS,,,,
Himadri Speciality Chemical Ltd.,HSCL.NS,,,,
Affle (India) Ltd.,AFFLE.NS,,,,
Welspun Corp Ltd.,WELCORP.NS,,,,
Aditya Birla Real Estate Ltd.,NA,,,,
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,,,,
Dr. Lal Pathlabs Ltd.,LALPATHLAB.NS,,,,
Poly Medicure Ltd.,POLYMED.NS,,,,
Tata Chemicals Ltd.,TATACHEM.NS,,,,
PTC Industries Ltd.,PTCIL.NS,,,,
Angel One Ltd.,ANGELONE.NS,,,,
Apar Industries Ltd.,APARINDS.NS,,,,
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,,,,
Nuvama Wealth Management Ltd.,NA,,,,
Five-Star Business Finance Ltd.,FIVESTAR.NS,,,,
Navin Fluorine International Ltd.,NAVINFLUOR.NS,,,,
Hatsun Agro Products Ltd.,HATSUN.NS,,,,
CESC Ltd.,CESC.NS,,,,
Castrol India Ltd.,CASTROLIND.NS,,,,
Inox Wind Ltd.,INOXWIND.NS,,,,
AstraZeneca Pharma India Ltd.,ASTRAZEN.NS,,,,
Hindustan Copper Ltd.,HINDCOPPER.NS,,,,
Manappuram Finance Ltd.,MANAPPURAM.NS,,,,
Aadhar Housing Finance Ltd.,NA,,,,
Kansai Nerolac Paints Ltd.,KANSAINER.NS,,,,
Delhivery Ltd.,DELHIVERY.NS,,,,
BASF India Ltd.,BASF.NS,,,,
Punjab & Sind Bank,PSB.NS,,,,
Sagility India Ltd.,NA,,,,
Carborundum Universal Ltd.,CARBORUNIV.NS,,,,
Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,,,,
Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,,,,
Emcure Pharmaceuticals Ltd.,NA,,,,
Timken India Ltd.,TIMKEN.NS,,,,
Brainbees Solutions Ltd.,NA,,,,
SKF India Ltd.,SKFINDIA.NS,,,,
Vedant Fashions Ltd.,MANYAVAR.NS,,,,
Sundram Fasteners Ltd.,SUNDRMFAST.NS,,,,
Pfizer Ltd.,PFIZER.NS,,,,
KEC International Ltd.,KEC.NS,,,,
Ratnamani Metals & Tubes Ltd.,RATNAMANI.NS,,,,
Computer Age Management Services Ltd.,CAMS.NS,,,,
Amara Raja Energy & Mobility Ltd.,AMARAJABAT.NS,,,,
Chalet Hotels Ltd.,CHALET.NS,,,,
Eris Lifesciences Ltd.,ERIS.NS,,,,
KFIN Technologies Ltd.,KFINTECH.NS,,,,
Grindwell Norton Ltd.,GRINDWELL.NS,,,,
Devyani International Ltd.,DEVYANI.NS,,,,
Sarda Energy & Minerals Ltd.,SARDAEN.NS,,,,
Karur Vysya Bank Ltd.,KARURVYSYA.NS,,,,
Concord Biotech Ltd.,CONCORDBIO.NS,,,,
Alembic Pharmaceuticals Ltd.,ALEMBICLTD.NS,,,,
Jubilant Agri and Consumer Products Ltd.,JUBILANT.NS,,,,
OneSource Specialty Pharma Ltd.,ONESOURCE.NS,,,,
TVS Holdings Ltd.,TVSRL.NS,,,,
Bikaji Foods International Ltd.,BIKAJIFOOD.NS,,,,
Afcons Infrastructure Ltd.,AFCONS.NS,,,,
Redington Ltd.,REDINGTON.NS,,,,
Jindal Saw Ltd.,JINDALSAW.NS,,,,
Reliance Power Ltd.,RPOWER.NS,,,,
International Gemmological Institute (India) Ltd.,IGIFFL.NS,,,,
Triveni Turbine Ltd.,TRIVENI.NS,,,,
Gujarat State Petronet Ltd.,GSPL.NS,,,,
DCM Shriram Ltd.,DCMSHRIRAM.NS,,,,
Aavas Financiers Ltd.,AAVAS.NS,,,,
LMW Ltd.,LMW.NS,,,,
DOMS Industries Ltd.,DOMS.NS,,,,
Ventive Hospitality Ltd.,VENTURE.NS,,,,
PCBL Chemical Ltd.,PCBL.NS,,,,
CreditAccess Grameen Ltd.,CREDITACC.NS,,,,
Akzo Nobel India Ltd.,AKZOINDIA.NS,,,,
Indian Energy Exchange Ltd.,IEX.NS,,,,
Kalpataru Projects International Ltd.,KPIL.NS,,,,
BLS International Services Ltd.,BLS.NS,,,,
Atul Ltd.,ATUL.NS,,,,
Signatureglobal (India) Ltd.,SIGNATURE.NS,,,,
Anant Raj Ltd.,ANANTRAJ.NS,,,,
Vinati Organics Ltd.,VINATIORGA.NS,,,,
Jupiter Wagons Ltd.,JWL.NS,,,,
Bata India Ltd.,BATAINDIA.NS,,,,
Century Plyboards (India) Ltd.,CENTURYPLY.NS,,,,
V-Guard Industries Ltd.,VGUARD.NS,,,,
Action Construction Equipment Ltd.,ACE.NS,,,,
Aptus Value Housing Finance India Ltd.,APTUS.NS,,,,
Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS,,,,
Sai Life Science Ltd.,SAILIFE.NS,,,,
Asahi India Glass Ltd.,ASAHIINDIA.NS,,,,
Anand Rathi Wealth Ltd.,ANANDRATHI.NS,,,,
Transformers & Rectifiers (India) Ltd.,TARIL.NS,,,,
Zensar Technologies Ltd.,ZENSARTECH.NS,,,,
Tejas Networks Ltd.,TEJASNET.NS,,,,
CIE Automotive India Ltd.,CIEINDIA.NS,,,,
Jubilant Pharmova Ltd.,JUBLPHARMA.NS,,,,
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,,,,
Neuland Laboratories Ltd.,NEULANDLAB.NS,,,,
Ircon International Ltd.,IRCON.NS,,,,
IIFL Finance Ltd.,IIFL.NS,,,,
NAVA Ltd.,NA,,,,
Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT.NS,,,,
JBM Auto Ltd.,JBMA.NS,,,,
Rainbow Childrens Medicare Ltd.,RAINBOW.NS,,,,
Natco Pharma Ltd.,NATCOPHARM.NS,,,,
Godrej Agrovet Ltd.,GODREJAGRO.NS,,,,
Elgi Equipments Ltd.,ELGIEQUIP.NS,,,,
KIOCL Ltd.,KIOCL.NS,,,,
Blue Dart Express Ltd.,BLUEDART.NS,,,,
HBL Engineering Ltd.,NA,,,,
Sanofi India Ltd.,SANOFI.NS,,,,
Dr. Agarwals Health Care Ltd.,NA,,,,
EID Parry (India) Ltd.,EIDPARRY.NS,,,,
Vardhman Textiles Ltd.,VTL.NS,,,,
Niva Bupa Health Insurance Company Ltd.,NA,,,,
UTI Asset Management Company Ltd.,UTIAMC.NS,,,,
Aarti Industries Ltd.,AARTIIND.NS,,,,
Embassy Developments Ltd.,NA,,,,
Trident Ltd.,TRIDENT.NS,,,,
Capri Global Capital Ltd.,CGCL.NS,,,,
